URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_190_R_TC_46/1840,3455,227,210/pct:40/0/default.jpg",,,,,317,190 R,1840,3455,227,210,
"https://stacks.stanford.edu/image/iiif/dw493fs0065%2F163_246_TC_46/807,5977,697,595/pct:40/0/default.jpg",,,,,163,246,807,5977,697,595,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_283_V_TC_46/4300,1907,127,150/pct:40/0/default.jpg",,,,,10,283 V,4300,1907,127,150,
"https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_046_V_TC_46/575,265,67,207/pct:40/0/default.jpg",,,,,628,46 V,575,265,67,207,
"https://stacks.stanford.edu/image/iiif/sg012cr8689%2F470_009_V_TC_46/2082,252,147,202/pct:40/0/default.jpg",,,,,470,9 V,2082,252,147,202,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_052_TC_46/1585,2822,202,220/pct:40/0/default.jpg",,,,,51,52,1585,2822,202,220,
"https://stacks.stanford.edu/image/iiif/ky226pt1201%2F406_001_V_TC_46/192,900,160,175/pct:40/0/default.jpg",,,,,406,1 V,192,900,160,175,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_72_V_TC_46/5270,1827,162,320/pct:40/0/default.jpg",,,,,269,72 V,5270,1827,162,320,
"https://stacks.stanford.edu/image/iiif/cg531kv2466%2F302_077_TC_46/3065,1685,160,297/pct:40/0/default.jpg",,,,,302,77,3065,1685,160,297,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_012_R_TC_46/2235,3157,72,440/pct:40/0/default.jpg",,,,,10,12 R,2235,3157,72,440,
"https://stacks.stanford.edu/image/iiif/vn209hf3082%2F505_102_R_TC_46/97,1972,147,162/pct:40/0/default.jpg",,,,,505,102 R,97,1972,147,162,
"https://stacks.stanford.edu/image/iiif/tj601fd3737%2F149_093_V_TC_46/1050,4262,760,827/pct:40/0/default.jpg",,,,,149,93 V,1050,4262,760,827,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_172_V_TC_46/5395,2612,107,300/pct:40/0/default.jpg",,,,,75,172 V,5395,2612,107,300,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_106_V_TC_46/497,1307,102,725/pct:40/0/default.jpg",,,,,16II,106 V,497,1307,102,725,
"https://stacks.stanford.edu/image/iiif/vp970qy1037%2F027_99_V_TC_46/3382,4470,372,380/pct:40/0/default.jpg",,,,,27,99 V,3382,4470,372,380,
"https://stacks.stanford.edu/image/iiif/nm203xw8381%2F002I_104_R_TC_46/100,3032,107,570/pct:40/0/default.jpg",,,,,2I,104 R,100,3032,107,570,
"https://stacks.stanford.edu/image/iiif/bp835wh7799%2F361_039_V_TC_46/420,2192,777,517/pct:40/0/default.jpg",,,,,361,39 V,420,2192,777,517,
"https://stacks.stanford.edu/image/iiif/wy783rb3141%2F146_224_TC_46/935,3862,625,770/pct:40/0/default.jpg",,,,,146,224,935,3862,625,770,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_042_V_TC_46/850,3777,152,227/pct:40/0/default.jpg",,,,,130,42 V,850,3777,152,227,
"https://stacks.stanford.edu/image/iiif/vn209hf3082%2F505_006_R_TC_46/510,1832,190,227/pct:40/0/default.jpg",,,,,505,6 R,510,1832,190,227,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_035_V_TC_46/5375,1230,87,120/pct:40/0/default.jpg",,,,,75,35 V,5375,1230,87,120,
"https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_82_V_TC_46/1530,1002,512,167/pct:40/0/default.jpg",,,,,273,82 V,1530,1002,512,167,
"https://stacks.stanford.edu/image/iiif/qj220gv8417%2F139_84_R_TC_46/35,3885,485,645/pct:40/0/default.jpg",,,,,139,84 R,35,3885,485,645,
"https://stacks.stanford.edu/image/iiif/wy783rb3141%2F146_286_TC_46/1087,4865,702,915/pct:40/0/default.jpg",,,,,146,286,1087,4865,702,915,
"https://stacks.stanford.edu/image/iiif/qx685bd1288%2F317_198_V_TC_46/1642,1580,240,155/pct:40/0/default.jpg",,,,,317,198 V,1642,1580,240,155,
"https://stacks.stanford.edu/image/iiif/hg583np7605%2F186_92_V_TC_46/1207,3407,60,117/pct:40/0/default.jpg",,,,,186,92 V,1207,3407,60,117,
"https://stacks.stanford.edu/image/iiif/cg362wn0438%2F150_99_V_TC_46/3115,4962,287,260/pct:40/0/default.jpg",,,,,150,99 V,3115,4962,287,260,
"https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_123_R_TC_46/1402,2395,577,180/pct:40/0/default.jpg",,,,,628,123 R,1402,2395,577,180,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_267_V_TC_46/3547,385,162,192/pct:40/0/default.jpg",,,,,271,267 V,3547,385,162,192,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_177_R_TC_46/2062,1717,155,207/pct:40/0/default.jpg",,,,,130,177 R,2062,1717,155,207,
"https://stacks.stanford.edu/image/iiif/gm669vs3001%2F058_114_R_TC_46/4927,2760,107,360/pct:40/0/default.jpg",,,,,58,114 R,4927,2760,107,360,
"https://stacks.stanford.edu/image/iiif/yp193mg4537%2F473_030_V_TC_46/1947,1687,127,182/pct:40/0/default.jpg",,,,,473,30 V,1947,1687,127,182,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_281_V_TC_46/4947,3135,297,207/pct:40/0/default.jpg",,,,,49,281 V,4947,3135,297,207,
"https://stacks.stanford.edu/image/iiif/hw998hp3077%2F461_087_V_TC_46/2452,2272,232,310/pct:40/0/default.jpg",,,,,461,87 V,2452,2272,232,310,
"https://stacks.stanford.edu/image/iiif/sn284rv5537%2F462_047_V_TC_46/567,3745,230,380/pct:40/0/default.jpg",,,,,462,47 V,567,3745,230,380,
"https://stacks.stanford.edu/image/iiif/jj548nk9202%2F045_066_R_TC_46/3645,5580,345,175/pct:40/0/default.jpg",,,,,45,66 R,3645,5580,345,175,
"https://stacks.stanford.edu/image/iiif/wq149yj5620%2F438_019_V_TC_46/1242,1710,65,305/pct:40/0/default.jpg",,,,,438,19 V,1242,1710,65,305,
"https://stacks.stanford.edu/image/iiif/yp193mg4537%2F473_170_R_TC_46/2,2672,360,335/pct:40/0/default.jpg",,,,,473,170 R,2,2672,360,335,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_87_R_TC_46/1322,1387,332,215/pct:40/0/default.jpg",,,,,30,87 R,1322,1387,332,215,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_275_R_TC_46/2547,4882,130,165/pct:40/0/default.jpg",,,,,10,275 R,2547,4882,130,165,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_007_V_TC_46/3647,1135,155,187/pct:40/0/default.jpg",,,,,511,7 V,3647,1135,155,187,
"https://stacks.stanford.edu/image/iiif/dt053nh0820%2F002III_324_R_TC_46/1642,1977,230,235/pct:40/0/default.jpg",,,,,2III,324 R,1642,1977,230,235,
