URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_204_R_TC_46/3173,3833,190,228/pct:40/0/default.jpg",030,204,R,3173,3833,190,228,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_204_R_TC_46/4273,2573,255,195/pct:40/0/default.jpg",030,204,R,4273,2573,255,195,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_210_R_TC_46/1063,2990,330,198/pct:40/0/default.jpg",030,210,R,1063,2990,330,198,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_210_R_TC_46/1303,6025,233,183/pct:40/0/default.jpg",030,210,R,1303,6025,233,183,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_210_R_TC_46/2778,2565,203,225/pct:40/0/default.jpg",030,210,R,2778,2565,203,225,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_210_R_TC_46/3463,5003,200,210/pct:40/0/default.jpg",030,210,R,3463,5003,200,210,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_228_V_TC_46/1083,4438,268,335/pct:40/0/default.jpg",030,228,V,1083,4438,268,335,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_228_V_TC_46/2178,2015,223,198/pct:40/0/default.jpg",030,228,V,2178,2015,223,198,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_229_V_TC_46/1133,3278,180,198/pct:40/0/default.jpg",030,229,V,1133,3278,180,198,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_229_V_TC_46/3120,388,280,295/pct:40/0/default.jpg",030,229,V,3120,388,280,295,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_229_V_TC_46/4443,5458,275,228/pct:40/0/default.jpg",030,229,V,4443,5458,275,228,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_230_R_TC_46/1335,3738,183,210/pct:40/0/default.jpg",030,230,R,1335,3738,183,210,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_230_R_TC_46/3423,4043,175,190/pct:40/0/default.jpg",030,230,R,3423,4043,175,190,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_230_V_TC_46/2260,4993,185,230/pct:40/0/default.jpg",030,230,V,2260,4993,185,230,
"https://stacks.stanford.edu/image/iiif/kw873ng3844%2F030_230_V_TC_46/4100,2468,173,203/pct:40/0/default.jpg",030,230,V,4100,2468,173,203,
